Transaction ID,Car ID,Customer ID,Rental Start Date,Rental End Date,Rental Duration (hours),Car Type,Rental Price ($),Payment Method
28,878,379,2023-11-13 02:42:05,2023-11-18 12:30:38,9,Sedan,135,Cash
29,419,1311,2023-06-27 23:16:59,2023-07-01 02:45:06,3,Convertible,90,Mobile Payment
30,262,4125,2023-09-07 01:42:54,2023-09-11 02:00:52,0,Sedan,0,Mobile Payment
31,65,3659,2023-11-25 05:05:27,2023-11-25 13:53:05,8,SUV,160,Debit Card
32,582,2981,2023-02-13 12:26:15,2023-02-15 06:40:30,18,SUV,360,Mobile Payment
33,299,3758,2023-04-21 12:35:02,2023-04-27 16:31:51,3,Convertible,90,Cash
34,946,593,2023-04-18 05:29:44,2023-04-18 11:22:34,5,Truck,125,Cash
35,269,4261,2023-12-07 04:50:29,2023-12-12 05:51:50,1,SUV,20,Credit Card
36,247,4263,2023-06-25 20:50:15,2023-06-27 06:54:41,10,Truck,250,Debit Card
37,815,1824,2023-06-26 15:45:56,2023-06-27 14:35:42,22,Convertible,660,Credit Card
38,942,777,2023-05-19 10:38:08,2023-05-25 11:27:57,0,Truck,0,Debit Card
39,855,1775,2023-06-27 03:22:41,2023-06-29 04:12:29,0,Sedan,0,Mobile Payment
40,471,4124,2023-11-10 07:02:16,2023-11-16 02:39:44,19,Sedan,285,Cash
41,798,2470,2023-04-16 00:39:37,2023-04-21 10:35:24,9,Convertible,270,Credit Card
42,710,3286,2023-11-24 14:37:17,2023-11-28 00:10:57,9,Truck,225,Credit Card
43,487,2114,2023-05-02 22:00:07,2023-05-09 09:16:03,11,Truck,275,Mobile Payment
44,731,586,2023-02-12 17:56:46,2023-02-19 12:47:22,18,Convertible,540,Cash
45,617,835,2023-08-01 02:12:17,2023-08-06 11:35:37,9,Truck,225,Mobile Payment
46,897,2607,2023-01-18 04:50:46,2023-01-21 03:21:00,22,Truck,550,Credit Card
47,832,4615,2023-06-23 23:03:48,2023-06-27 09:13:31,10,Sedan,150,Mobile Payment
48,758,3950,2023-04-18 02:39:49,2023-04-20 11:41:45,9,Truck,225,Debit Card
49,386,519,2023-05-21 19:21:58,2023-05-24 15:49:34,20,Sedan,300,Cash
50,160,3961,2023-09-28 13:06:09,2023-10-03 14:52:18,1,Sedan,15,Mobile Payment
51,942,975,2023-10-11 11:28:29,2023-10-11 18:21:14,6,Sedan,90,Credit Card
52,761,990,2023-01-27 00:25:54,2023-02-02 11:27:53,11,Convertible,330,Mobile Payment
53,868,4891,2023-02-04 19:13:30,2023-02-06 15:13:04,19,Sedan,285,Debit Card
54,689,2722,2023-07-17 17:02:21,2023-07-20 17:54:44,0,Truck,0,Credit Card
55,554,1202,2023-04-07 01:11:51,2023-04-09 23:24:49,22,Sedan,330,Credit Card
56,308,4539,2023-05-23 11:08:57,2023-05-25 04:11:42,17,Sedan,255,Mobile Payment
57,331,3160,2023-12-28 09:09:19,2024-01-02 17:31:10,8,Sedan,120,Cash
58,962,173,2023-10-24 19:39:54,2023-10-29 20:08:02,0,Truck,0,Credit Card
59,548,3028,2023-04-28 09:25:12,2023-05-03 16:38:52,7,SUV,140,Credit Card
60,563,4753,2023-09-05 16:43:26,2023-09-11 14:34:18,21,Sedan,315,Credit Card
61,126,3605,2023-12-05 16:55:23,2023-12-05 20:37:42,3,Sedan,45,Cash
62,464,4466,2023-06-22 08:12:33,2023-06-25 22:25:48,14,Convertible,420,Credit Card
63,868,4580,2023-05-07 04:14:49,2023-05-10 21:53:08,17,Convertible,510,Mobile Payment
64,598,4476,2023-12-05 03:31:57,2023-12-06 21:26:30,17,Truck,425,Cash
65,374,4040,2023-03-04 10:59:09,2023-03-05 15:30:40,4,SUV,80,Debit Card
66,801,742,2023-07-26 19:57:07,2023-07-28 04:16:59,8,SUV,160,Mobile Payment
67,659,2939,2023-02-13 16:26:01,2023-02-18 16:42:20,0,Convertible,0,Mobile Payment
68,145,2591,2023-05-01 18:42:58,2023-05-05 10:48:46,16,SUV,320,Debit Card
69,116,3560,2023-07-04 01:28:20,2023-07-09 05:28:54,4,Sedan,60,Mobile Payment
70,797,4245,2023-04-10 22:29:01,2023-04-16 15:32:13,17,Convertible,510,Credit Card
71,129,2322,2023-02-14 16:03:39,2023-02-19 07:10:07,15,Truck,375,Cash
72,279,2483,2023-07-12 17:44:00,2023-07-13 14:14:21,20,Convertible,600,Credit Card
73,911,1716,2023-07-13 01:38:01,2023-07-13 20:30:25,18,Convertible,540,Cash
74,723,2410,2023-02-02 03:48:40,2023-02-03 07:38:38,3,Truck,75,Debit Card
75,670,304,2023-06-30 01:59:16,2023-07-01 02:09:47,0,SUV,0,Cash
76,554,2874,2023-10-15 07:08:19,2023-10-17 03:38:42,20,Sedan,300,Debit Card
77,279,700,2023-07-29 13:42:06,2023-08-04 03:20:01,13,SUV,260,Debit Card
78,368,1829,2023-01-08 09:31:11,2023-01-12 04:57:38,19,SUV,380,Credit Card
79,973,3510,2023-07-25 12:38:49,2023-07-31 13:10:43,0,Sedan,0,Cash
80,281,353,2023-12-25 11:06:41,2023-12-30 08:06:03,20,Truck,500,Credit Card
81,145,4847,2023-01-17 20:48:48,2023-01-18 10:04:45,13,Convertible,390,Credit Card
82,617,501,2023-11-07 15:48:23,2023-11-12 03:15:13,11,Truck,275,Debit Card
83,187,130,2023-11-24 17:55:02,2023-11-25 13:09:27,19,Convertible,570,Debit Card
84,91,2583,2023-08-03 19:49:29,2023-08-09 22:17:11,2,Truck,50,Mobile Payment
85,733,3878,2023-12-01 03:09:42,2023-12-06 08:48:18,5,Sedan,75,Credit Card
86,24,1528,2023-11-25 01:21:51,2023-11-27 20:23:09,19,Truck,475,Mobile Payment
87,721,1895,2023-02-10 09:23:05,2023-02-12 21:27:37,12,Sedan,180,Mobile Payment
88,553,755,2023-08-09 13:16:16,2023-08-15 21:32:11,8,SUV,160,Cash
89,76,3681,2023-10-03 23:18:35,2023-10-04 10:32:01,11,SUV,220,Cash
90,842,61,2023-05-16 23:53:23,2023-05-18 08:55:50,9,Sedan,135,Credit Card
91,884,4373,2023-05-23 03:43:34,2023-05-28 20:28:07,16,Convertible,480,Credit Card
92,841,3896,2023-11-17 00:33:54,2023-11-17 16:07:55,15,Sedan,225,Mobile Payment
93,212,3385,2023-03-10 12:50:07,2023-03-15 04:05:12,15,Convertible,450,Debit Card
94,812,1401,2023-01-18 11:36:36,2023-01-22 09:12:26,21,Sedan,315,Debit Card
95,903,4447,2023-02-07 01:41:35,2023-02-10 08:50:13,7,SUV,140,Mobile Payment
96,131,1913,2023-12-16 23:53:35,2023-12-22 17:53:16,17,SUV,340,Mobile Payment
97,110,682,2023-08-04 07:15:09,2023-08-06 18:55:17,11,Truck,275,Mobile Payment
98,466,2396,2023-01-03 09:49:57,2023-01-04 03:29:21,17,SUV,340,Credit Card
99,703,472,2023-12-17 16:25:51,2023-12-18 04:50:58,12,Truck,300,Mobile Payment
100,545,3959,2023-05-17 01:49:39,2023-05-23 01:17:33,23,SUV,460,Cash
101,564,2334,2023-01-02 10:49:45,2023-01-02 18:04:03,7,Truck,175,Debit Card
102,628,2035,2023-11-20 18:50:28,2023-11-24 11:39:37,16,Sedan,240,Debit Card
103,798,2354,2023-08-31 04:42:54,2023-09-03 20:44:06,16,Sedan,240,Debit Card
104,885,701,2023-06-09 20:03:27,2023-06-12 03:51:11,7,SUV,140,Credit Card
105,928,3367,2023-10-06 00:14:55,2023-10-10 09:56:44,9,Truck,225,Credit Card
106,249,4577,2023-06-26 07:30:07,2023-07-01 23:20:26,15,SUV,300,Mobile Payment
107,101,721,2023-10-06 05:20:52,2023-10-08 04:10:57,22,Truck,550,Cash
108,117,2624,2023-06-13 23:39:47,2023-06-18 13:51:39,14,Convertible,420,Mobile Payment
109,726,4630,2023-05-10 07:34:32,2023-05-10 10:41:27,3,SUV,60,Cash
110,555,2110,2023-12-14 02:26:03,2023-12-15 07:29:49,5,Truck,125,Debit Card
111,576,4574,2023-11-04 23:59:47,2023-11-08 18:04:20,18,Sedan,270,Cash
112,2,335,2023-08-26 02:08:37,2023-08-28 07:59:46,5,SUV,100,Credit Card
113,787,3931,2023-05-23 01:38:44,2023-05-26 13:32:54,11,Convertible,330,Cash
114,676,875,2023-06-01 10:14:03,2023-06-08 03:38:34,17,Convertible,510,Debit Card
115,992,65,2023-02-18 07:56:16,2023-02-25 02:33:50,18,Convertible,540,Cash
116,36,947,2023-05-08 12:50:53,2023-05-13 15:29:26,2,SUV,40,Debit Card
117,476,4840,2023-10-18 08:11:28,2023-10-22 13:57:14,5,SUV,100,Cash
118,910,1341,2023-09-30 16:31:01,2023-10-05 07:34:14,15,SUV,300,Cash
119,428,788,2023-05-27 05:55:28,2023-05-31 14:50:29,8,Truck,200,Debit Card
120,790,3003,2023-09-29 10:25:35,2023-09-29 17:25:10,6,Sedan,90,Credit Card
121,761,4196,2023-05-06 21:41:45,2023-05-07 05:43:24,8,Convertible,240,Cash
122,178,1873,2023-02-12 09:10:38,2023-02-16 13:49:17,4,Sedan,60,Debit Card
123,908,1533,2023-07-02 13:20:45,2023-07-08 08:25:02,19,Convertible,570,Mobile Payment
124,967,4304,2023-11-23 12:30:19,2023-11-29 22:59:41,10,SUV,200,Debit Card
125,242,1228,2023-06-27 09:00:11,2023-06-28 16:27:20,7,Sedan,105,Cash
126,378,2215,2023-06-16 04:37:14,2023-06-22 09:00:02,4,SUV,80,Cash
127,642,3633,2023-12-28 13:40:42,2023-12-30 22:23:21,8,SUV,160,Debit Card
128,195,1161,2023-05-16 12:34:31,2023-05-18 23:16:23,10,SUV,200,Cash
129,432,2188,2023-07-07 19:58:49,2023-07-11 18:29:07,22,Convertible,660,Mobile Payment
130,987,3076,2023-05-01 23:23:15,2023-05-05 18:57:21,19,SUV,380,Credit Card
131,640,3016,2023-12-05 21:02:43,2023-12-08 02:49:15,5,SUV,100,Cash
132,788,1449,2023-05-29 09:47:37,2023-06-01 16:40:43,6,Truck,150,Credit Card
133,834,2505,2023-09-17 22:53:26,2023-09-20 05:25:44,6,Truck,150,Mobile Payment
134,947,401,2023-03-05 14:58:12,2023-03-07 01:25:20,10,Sedan,150,Mobile Payment
135,686,1279,2023-03-10 13:05:12,2023-03-12 12:02:22,22,SUV,440,Cash
136,468,3491,2023-01-13 07:07:46,2023-01-18 23:36:00,16,Convertible,480,Debit Card
137,424,1382,2023-12-22 22:05:37,2023-12-24 11:25:11,13,Convertible,390,Mobile Payment
138,415,3703,2023-12-24 16:38:53,2023-12-31 08:17:27,15,Sedan,225,Mobile Payment
139,184,3760,2023-10-22 08:46:04,2023-10-26 02:13:53,17,Sedan,255,Credit Card
140,890,3542,2023-03-01 06:25:39,2023-03-05 05:05:17,22,Truck,550,Mobile Payment
141,372,3648,2023-04-26 11:48:03,2023-05-01 03:16:40,15,SUV,300,Credit Card
142,934,1953,2023-02-13 06:24:40,2023-02-18 11:35:14,5,Convertible,150,Cash
143,65,4539,2023-09-27 12:28:06,2023-09-30 15:02:48,2,Truck,50,Debit Card
144,982,596,2023-09-29 23:59:43,2023-10-01 15:12:55,15,Sedan,225,Cash
145,514,3165,2023-10-30 12:29:55,2023-10-30 23:18:13,10,Sedan,150,Credit Card
146,328,1075,2023-12-20 20:09:45,2023-12-24 23:15:10,3,Sedan,45,Mobile Payment
147,970,791,2023-08-29 18:01:43,2023-09-03 16:32:56,22,Convertible,660,Credit Card
148,8,931,2023-02-08 11:04:13,2023-02-15 06:47:30,19,Convertible,570,Credit Card
149,145,4052,2023-01-06 01:13:58,2023-01-08 11:38:31,10,Truck,250,Mobile Payment
150,544,3184,2023-06-16 15:47:57,2023-06-20 18:06:08,2,Truck,50,Debit Card
151,570,4039,2023-12-09 16:45:03,2023-12-10 05:22:59,12,Truck,300,Credit Card
152,5,2902,2023-07-07 11:07:32,2023-07-10 14:26:13,3,Sedan,45,Mobile Payment
153,180,3311,2023-01-29 16:41:01,2023-02-05 12:30:14,19,Convertible,570,Mobile Payment
154,985,1618,2023-01-25 05:06:24,2023-01-31 15:57:49,10,Truck,250,Mobile Payment
155,570,2643,2023-07-21 05:35:55,2023-07-23 08:47:45,3,Convertible,90,Credit Card
156,105,2036,2023-08-17 04:04:36,2023-08-21 13:29:38,9,Sedan,135,Mobile Payment
157,817,2193,2023-09-19 14:24:57,2023-09-22 14:22:57,23,SUV,460,Mobile Payment
158,483,788,2023-10-05 09:59:56,2023-10-06 13:21:48,3,SUV,60,Mobile Payment
159,911,1051,2023-10-30 03:11:24,2023-10-31 01:23:49,22,Sedan,330,Cash
160,637,1844,2023-01-08 01:13:06,2023-01-13 10:50:05,9,Convertible,270,Cash
161,348,4592,2023-10-22 15:29:17,2023-10-25 05:56:12,14,Convertible,420,Credit Card
162,516,1976,2023-07-09 12:08:09,2023-07-13 08:08:53,20,Truck,500,Debit Card
163,102,4821,2023-11-06 06:55:04,2023-11-06 17:36:05,10,Truck,250,Debit Card
164,949,4952,2023-07-08 04:30:56,2023-07-12 21:53:11,17,Convertible,510,Cash
165,390,4566,2023-12-02 20:41:51,2023-12-05 16:01:43,19,Sedan,285,Credit Card
166,4,3003,2023-08-14 11:04:46,2023-08-14 19:45:56,8,Sedan,120,Mobile Payment
167,25,2917,2023-10-06 10:16:57,2023-10-09 20:19:14,10,Sedan,150,Mobile Payment
168,495,3517,2023-07-19 08:01:50,2023-07-21 18:30:45,10,Truck,250,Mobile Payment
169,669,1344,2023-02-13 22:06:44,2023-02-18 07:23:45,9,Truck,225,Cash
170,974,548,2023-07-11 21:19:34,2023-07-17 16:03:54,18,Sedan,270,Mobile Payment
171,300,1932,2023-06-30 05:41:07,2023-07-04 02:39:34,20,SUV,400,Debit Card
172,455,542,2023-07-03 17:41:03,2023-07-09 09:11:40,15,Convertible,450,Credit Card
173,360,2322,2023-04-16 05:03:09,2023-04-16 07:59:54,2,Truck,50,Cash
174,592,3791,2023-10-07 07:37:19,2023-10-07 10:51:02,3,SUV,60,Credit Card
175,774,1997,2023-09-14 16:05:15,2023-09-20 11:01:33,18,SUV,360,Debit Card
176,150,1864,2023-09-16 15:21:42,2023-09-20 07:38:12,16,SUV,320,Credit Card
177,279,827,2023-07-26 05:16:09,2023-07-29 16:24:02,11,Sedan,165,Debit Card
178,554,3598,2023-07-05 14:24:31,2023-07-07 04:48:31,14,Truck,350,Mobile Payment
179,113,2380,2023-10-01 11:22:40,2023-10-06 20:10:18,8,SUV,160,Debit Card
180,21,2551,2023-04-12 04:45:52,2023-04-17 14:35:10,9,SUV,180,Mobile Payment
181,5,1657,2023-09-04 09:15:54,2023-09-09 18:52:59,9,Sedan,135,Credit Card
182,171,4445,2023-03-01 21:55:41,2023-03-03 06:16:48,8,Sedan,120,Mobile Payment
183,895,3654,2023-08-01 20:38:28,2023-08-06 12:55:57,16,Sedan,240,Cash
184,520,4392,2023-01-31 11:11:38,2023-02-06 07:39:39,20,Truck,500,Credit Card
185,427,513,2023-06-04 09:07:52,2023-06-08 19:49:47,10,Convertible,300,Debit Card
186,108,3750,2023-02-17 07:28:45,2023-02-19 11:51:18,4,Convertible,120,Credit Card
187,746,4702,2023-05-04 14:42:08,2023-05-10 10:07:00,19,Sedan,285,Credit Card
188,556,656,2023-07-16 08:13:13,2023-07-22 01:02:57,16,Sedan,240,Debit Card
189,217,4604,2023-09-11 10:03:02,2023-09-17 01:51:04,15,Convertible,450,Credit Card
190,389,1305,2023-11-22 06:40:01,2023-11-27 02:54:54,20,Convertible,600,Mobile Payment
191,465,2966,2023-07-13 14:03:41,2023-07-13 15:58:37,1,Sedan,15,Debit Card
192,205,3847,2023-05-29 22:03:07,2023-06-01 01:28:31,3,SUV,60,Mobile Payment
193,387,3180,2023-03-06 06:08:50,2023-03-07 21:57:52,15,SUV,300,Debit Card
194,852,3821,2023-08-31 04:18:30,2023-09-05 09:41:08,5,Sedan,75,Credit Card
195,130,2049,2023-04-28 14:09:09,2023-05-01 07:33:00,17,Convertible,510,Credit Card
196,861,4488,2023-11-28 01:31:19,2023-12-02 15:51:36,14,Sedan,210,Debit Card
197,745,2532,2023-12-08 01:39:50,2023-12-14 01:31:36,23,Convertible,690,Credit Card
198,688,3165,2023-01-05 03:25:09,2023-01-10 17:52:33,14,SUV,280,Debit Card
199,74,1074,2023-08-14 18:58:06,2023-08-16 06:42:52,11,Truck,275,Cash
200,338,1884,2023-06-23 02:35:34,2023-06-25 06:26:17,3,Truck,75,Debit Card
201,520,2187,2023-06-16 17:04:46,2023-06-21 16:10:43,23,Truck,575,Mobile Payment
202,262,1250,2023-10-16 23:46:22,2023-10-23 13:34:09,13,SUV,260,Mobile Payment
203,223,149,2023-07-24 11:02:03,2023-07-28 21:27:01,10,SUV,200,Debit Card
204,997,4015,2023-08-06 03:37:54,2023-08-09 20:53:32,17,Convertible,510,Cash
205,955,4378,2023-01-30 15:22:01,2023-01-30 23:51:05,8,SUV,160,Debit Card
206,882,1032,2023-06-26 17:06:44,2023-07-01 23:09:00,6,SUV,120,Cash
207,484,836,2023-03-11 03:03:12,2023-03-17 00:09:30,21,Truck,525,Cash
208,576,2354,2023-12-20 14:51:42,2023-12-22 03:59:12,13,Sedan,195,Debit Card
209,756,2545,2023-11-19 22:31:39,2023-11-25 10:13:45,11,Sedan,165,Debit Card
210,844,2635,2023-12-02 07:37:11,2023-12-03 06:50:25,23,SUV,460,Credit Card
211,897,886,2023-11-25 11:35:09,2023-11-27 00:15:46,12,Truck,300,Credit Card
212,111,2104,2023-01-01 00:33:43,2023-01-06 17:35:02,17,Convertible,510,Cash
213,118,3427,2023-01-26 17:22:20,2023-01-31 08:48:29,15,Convertible,450,Cash
214,259,2851,2023-03-06 16:16:50,2023-03-11 13:47:44,21,Convertible,630,Debit Card
215,472,63,2023-12-24 15:45:35,2023-12-27 13:07:26,21,Sedan,315,Debit Card
216,160,2106,2023-03-04 11:18:25,2023-03-08 23:40:12,12,Sedan,180,Cash
217,259,2292,2023-02-05 10:26:12,2023-02-06 17:05:36,6,Truck,150,Cash
218,523,4131,2023-07-19 20:08:08,2023-07-25 23:02:24,2,Sedan,30,Cash
219,164,162,2023-04-23 14:26:52,2023-04-24 16:26:13,1,Sedan,15,Cash
220,375,2879,2023-11-15 07:22:50,2023-11-16 07:48:04,0,Sedan,0,Credit Card
221,528,437,2023-09-11 23:26:26,2023-09-14 20:23:50,20,Truck,500,Debit Card
222,931,2263,2023-01-11 02:35:11,2023-01-13 19:17:45,16,Convertible,480,Credit Card
223,644,1001,2023-01-16 11:23:27,2023-01-21 22:14:50,10,Truck,250,Debit Card
224,489,321,2023-01-28 18:14:14,2023-02-01 17:49:02,23,SUV,460,Debit Card
225,963,429,2023-04-01 03:07:10,2023-04-05 00:46:45,21,Convertible,630,Debit Card
226,276,3347,2023-07-10 14:11:35,2023-07-14 01:20:56,11,Sedan,165,Cash
227,183,2877,2023-06-19 18:09:37,2023-06-26 02:17:00,8,Sedan,120,Cash
228,259,2667,2023-03-06 22:09:44,2023-03-09 14:50:49,16,Truck,400,Mobile Payment
229,792,3728,2023-06-12 07:01:45,2023-06-17 06:02:16,23,Sedan,345,Cash
230,741,286,2023-04-03 18:52:00,2023-04-09 06:38:48,11,SUV,220,Cash
231,706,2372,2023-08-31 15:52:20,2023-09-05 21:43:28,5,Convertible,150,Cash
232,355,76,2023-08-10 04:03:23,2023-08-14 19:37:16,15,Convertible,450,Mobile Payment
233,453,312,2023-05-19 19:13:12,2023-05-21 19:03:19,23,Sedan,345,Mobile Payment
234,45,1452,2023-11-12 23:27:21,2023-11-19 06:05:32,6,Convertible,180,Credit Card
235,579,2159,2023-09-21 15:49:38,2023-09-26 23:53:50,8,Truck,200,Cash
236,4,4391,2023-11-20 19:39:57,2023-11-26 04:31:34,8,Convertible,240,Credit Card
237,673,1077,2023-12-09 11:14:50,2023-12-16 05:54:28,18,Truck,450,Credit Card
238,265,693,2023-02-06 21:26:45,2023-02-07 21:15:40,23,Sedan,345,Credit Card
239,704,4396,2023-02-24 16:05:27,2023-03-01 22:07:50,6,Sedan,90,Debit Card
240,974,2445,2023-10-15 14:30:39,2023-10-20 04:48:53,14,Truck,350,Mobile Payment
241,734,4831,2023-02-03 20:04:32,2023-02-05 10:13:00,14,Truck,350,Credit Card
242,493,4907,2023-08-19 12:00:56,2023-08-24 21:18:45,9,SUV,180,Debit Card
243,286,3626,2023-10-27 21:43:07,2023-11-02 12:27:45,14,Truck,350,Mobile Payment
244,522,274,2023-05-04 01:35:18,2023-05-07 13:02:29,11,Sedan,165,Credit Card
245,257,3128,2023-08-24 09:08:35,2023-08-30 09:53:55,0,SUV,0,Credit Card
246,549,363,2023-05-24 05:23:02,2023-05-25 01:40:48,20,SUV,400,Mobile Payment
247,22,1733,2023-02-12 18:54:28,2023-02-13 13:08:49,18,Truck,450,Cash
248,38,211,2023-11-09 18:57:49,2023-11-12 02:05:31,7,Truck,175,Cash
249,175,388,2023-11-06 06:52:48,2023-11-07 20:22:57,13,Sedan,195,Debit Card
250,97,4797,2023-02-02 15:37:21,2023-02-08 22:39:05,7,SUV,140,Cash
251,496,1226,2023-07-19 15:14:14,2023-07-25 22:52:06,7,Truck,175,Cash
252,112,2695,2023-09-18 20:23:31,2023-09-24 04:25:54,8,Sedan,120,Cash
253,323,3718,2023-02-09 08:48:27,2023-02-14 06:24:03,21,SUV,420,Mobile Payment
254,923,315,2023-03-02 17:00:24,2023-03-05 08:21:27,15,Convertible,450,Debit Card
255,531,2215,2023-08-26 16:55:59,2023-08-30 07:10:05,14,Truck,350,Debit Card
256,166,3232,2023-02-06 00:15:06,2023-02-11 17:51:09,17,Sedan,255,Debit Card
257,976,652,2023-10-22 23:19:27,2023-10-23 11:51:52,12,Truck,300,Mobile Payment
258,76,1859,2023-03-31 18:06:28,2023-04-05 12:13:54,18,Sedan,270,Cash
259,535,1952,2023-12-03 22:18:18,2023-12-09 04:57:10,6,SUV,120,Credit Card
260,955,727,2023-10-14 02:00:08,2023-10-15 20:49:52,18,SUV,360,Cash
261,331,1171,2023-10-09 01:09:27,2023-10-15 03:32:37,2,Sedan,30,Cash
262,944,2606,2023-07-03 06:04:29,2023-07-08 00:34:54,18,Convertible,540,Credit Card
263,659,3513,2023-06-19 11:00:29,2023-06-19 23:34:42,12,Truck,300,Credit Card
264,334,1202,2023-12-21 00:41:56,2023-12-23 05:00:23,4,Truck,100,Debit Card
265,250,4626,2023-06-20 11:19:15,2023-06-24 00:00:56,12,SUV,240,Cash
266,3,38,2023-02-09 09:19:35,2023-02-10 20:52:32,11,SUV,220,Mobile Payment
267,365,925,2023-07-24 19:18:17,2023-07-27 19:05:31,23,Sedan,345,Mobile Payment
268,340,487,2023-11-26 14:30:28,2023-12-01 17:42:12,3,Truck,75,Debit Card
269,587,4319,2023-03-26 08:57:55,2023-03-27 11:12:48,2,Convertible,60,Credit Card
270,376,2736,2023-07-08 13:16:04,2023-07-09 11:11:51,21,Convertible,630,Credit Card
271,754,2025,2023-06-18 17:58:11,2023-06-24 20:58:11,3,Convertible,90,Mobile Payment
272,216,2562,2023-05-10 01:21:27,2023-05-16 19:29:41,18,Truck,450,Mobile Payment
273,674,2348,2023-04-03 17:47:41,2023-04-06 19:47:23,1,Sedan,15,Credit Card
274,781,1153,2023-02-10 19:41:17,2023-02-17 07:35:21,11,Truck,275,Debit Card
275,625,536,2023-09-09 05:08:47,2023-09-11 22:47:31,17,Sedan,255,Debit Card
276,47,468,2023-07-20 14:24:29,2023-07-27 12:15:36,21,Truck,525,Debit Card
277,819,2701,2023-05-21 09:17:48,2023-05-28 07:21:07,22,Sedan,330,Cash
278,277,828,2023-11-08 04:04:09,2023-11-11 12:36:11,8,Convertible,240,Credit Card
279,904,2771,2023-05-05 21:39:47,2023-05-07 15:31:04,17,SUV,340,Mobile Payment
280,398,1088,2023-08-26 19:40:34,2023-08-29 14:15:20,18,Sedan,270,Mobile Payment
281,357,1875,2023-03-22 00:18:20,2023-03-22 03:01:51,2,Truck,50,Debit Card
282,500,2888,2023-07-17 01:12:48,2023-07-23 23:57:30,22,SUV,440,Credit Card
283,210,4913,2023-12-03 19:37:59,2023-12-08 20:41:12,1,Convertible,30,Cash
284,642,1318,2023-11-19 05:59:52,2023-11-23 12:46:21,6,Convertible,180,Mobile Payment
285,694,4583,2023-08-24 23:04:21,2023-08-29 09:56:31,10,Sedan,150,Mobile Payment
286,727,3239,2023-06-13 18:00:06,2023-06-16 05:44:44,11,SUV,220,Mobile Payment
287,346,2548,2023-09-17 01:31:53,2023-09-18 01:44:11,0,Convertible,0,Credit Card
288,569,3220,2023-09-18 18:25:56,2023-09-19 13:51:24,19,SUV,380,Cash
289,159,3237,2023-12-18 10:32:15,2023-12-18 21:53:34,11,Truck,275,Credit Card
290,752,3444,2023-10-06 20:25:38,2023-10-09 07:52:48,11,Convertible,330,Debit Card
291,487,77,2023-07-07 18:13:14,2023-07-09 00:49:21,6,SUV,120,Credit Card
292,654,2448,2023-08-25 17:16:24,2023-08-29 12:10:47,18,Sedan,270,Credit Card
293,616,3879,2023-03-29 18:15:22,2023-03-31 04:41:19,10,SUV,200,Mobile Payment
